day,topic,video,seconds,time
day 0,01.IP address Subnetting Supernetting_9,computer networks lecture 1introduction to comput.mp4,2943.97,0:49:3
day 0,01.IP address Subnetting Supernetting_9,computer networks lecture 2types of castingunicas.mp4,976.21,0:16:16
day 0,01.IP address Subnetting Supernetting_9,computer networks lecture 3 --subnetssubnet mask.mp4,1865.33,0:31:5
day 0,01.IP address Subnetting Supernetting_9,computer networks lecture 4 -- variable lenght sub.mp4,1483.34,0:24:43
day 1,01.IP address Subnetting Supernetting_9,computer networks lecture 5 -- subnet masking ques.mp4,984.69,0:16:24
day 1,01.IP address Subnetting Supernetting_9,computer networks lecture 6 -- classless inter dom.mp4,2383.9,0:39:43
day 1,01.IP address Subnetting Supernetting_9,computer networks lecture 7 -- subnetting in cidr.mp4,2079.93,0:34:39
day 1,01.IP address Subnetting Supernetting_9,computer networks lecture 8 -- some interesting pr.mp4,1680.5,0:28:0
day 2,01.IP address Subnetting Supernetting_9,computer networks lecture 9 -- supernetting or agg.mp4,1816.17,0:30:16
day 2,01.IP address Subnetting Supernetting_9,gate 2012 on ip addressing from ravi on vimeo.mp4,381.16,0:6:21
day 2,02.Delays and MAC Techniques,computer networks lecture 10 --delays in cn.mp4,875.09,0:14:35
day 2,02.Delays and MAC Techniques,computer networks lecture 11 --flow control stop_.mp4,2513.61,0:41:53
day 2,02.Delays and MAC Techniques,computer networks lecture 12 -- capacity of pipe a.mp4,2591.76,0:43:11
day 3,02.Delays and MAC Techniques,computer networks lecture 13 -- go back n.mp4,2893.86,0:48:13
day 3,02.Delays and MAC Techniques,computer networks lecture 16 -- csmacd.mp4,2486.49,0:41:26
day 3,02.Delays and MAC Techniques,computer networks lecture 17 -- back off algorithm.mp4,1323.61,0:22:3
day 3,02.Delays and MAC Techniques,computer networks lecture 18 -- token passing acce.mp4,1892.77,0:31:32
day 4,02.Delays and MAC Techniques,computer networks lecture 19 -- aloha and differen.mp4,1028.13,0:17:8
day 4,02.Delays and MAC Techniques,computer_networks_lecture_14_--_selective_repeat_a.mp4,2314.84,0:38:34
day 4,02.Delays and MAC Techniques,computer_networks_lecture_15_--_introduction_to_ac.mp4,1036.84,0:17:16
day 4,02.Delays and MAC Techniques,gate 2003 on slidling window protocol from ravi on.mp4,195.48,0:3:15
day 4,02.Delays and MAC Techniques,gate 20052010 on sr protocol fundamentals from ra.mp4,155.48,0:2:35
day 4,02.Delays and MAC Techniques,gate 2006 on sliding window protocol from ravi on_.mp4,170.97,0:2:50
day 4,02.Delays and MAC Techniques,gate 2015 question on csmacd from ravi on vimeo.mp4,201.05,0:3:21
day 4,02.Delays and MAC Techniques,gate 2015 question on delays from ravi on vimeo.mp4,1079.19,0:17:59
day 4,02.Delays and MAC Techniques,gate 2015 question on stop  and wait protocol from.mp4,195.29,0:3:15
day 5,02.Delays and MAC Techniques,gate 2016 question on s-r protocol from ravi on vi.mp4,251.33,0:4:11
day 5,02.Delays and MAC Techniques,gate 2016 question on solted aloha from ravi on vi.mp4,383.64,0:6:23
day 5,03.Error Control Methods_20,computer networks lecture 20 -- error control and_.mp4,1248.7,0:20:48
day 5,03.Error Control Methods_20,computer networks lecture 21-crc example.mp4,467.05,0:7:47
day 5,03.Error Control Methods_20,computer networks lecture 22-checksum.mp4,383.21,0:6:23
day 5,03.Error Control Methods_20,computer networks lecture 23-summary.mp4,368.9,0:6:8
day 5,04.ISOOSI Stack_28,computer networks lecture 21--isoosi layers.mp4,1003.22,0:16:43
day 5,04.ISOOSI Stack_28,computer networks lecture 22 -- physical layer.mp4,939.41,0:15:39
day 5,04.ISOOSI Stack_28,computer networks lecture 22 -- session layer.mp4,833.45,0:13:53
day 5,04.ISOOSI Stack_28,computer networks lecture 23 -- introduction to dl.mp4,172.01,0:2:52
day 6,04.ISOOSI Stack_28,computer networks lecture 24 -- framing at dll.mp4,2189.08,0:36:29
day 6,04.ISOOSI Stack_28,computer networks lecture 25 -- physical addressin.mp4,654.68,0:10:54
day 6,04.ISOOSI Stack_28,computer networks lecture 26 -- introduction to tr.mp4,773.35,0:12:53
day 6,04.ISOOSI Stack_28,computer networks lecture 27 -- introduction to ne.mp4,491.22,0:8:11
day 6,04.ISOOSI Stack_28,computer networks lecture 28 - lecture how all the.mp4,2247.28,0:37:27
day 6,04.ISOOSI Stack_28,gate 2004 on layering from ravi on vimeo.mp4,67.8,0:1:7
day 7,05.LAN technologies_32,computer networks lecture 29-- ethernet.mp4,2215.24,0:36:55
day 7,05.LAN technologies_32,computer networks lecture 30 -- introduction to to.mp4,2921.41,0:48:41
day 7,05.LAN technologies_32,computer networks lecture 31 -- token ring frame f.mp4,1769.54,0:29:29
day 7,05.LAN technologies_32,computer networks lecture 32 -- minimum length of_.mp4,909.21,0:15:9
day 8,05.LAN technologies_32,gate 2016 question on ethernet from ravi on vimeo_.mp4,130.84,0:2:10
day 8,06.Switching_36,computer networks lecture 33 - introduction to swi.mp4,572.1,0:9:32
day 8,06.Switching_36,computer networks lecture 34 - comparison between_.mp4,1284.69,0:21:24
day 8,06.Switching_36,computer networks lecture 35 - packetisation in pa.mp4,1403.58,0:23:23
day 8,06.Switching_36,computer networks lecture 36 - virtual circuits an.mp4,970.82,0:16:10
day 8,07.Internet Protocol(IP)_41,cn 42 from ravindra on vimeo.mp4,1423.81,0:23:43
day 8,07.Internet Protocol(IP)_41,computer networks lecture 37 - introduction to ip_.mp4,844.1,0:14:4
day 9,07.Internet Protocol(IP)_41,computer networks lecture 38 - identification mf.mp4,254.29,0:4:14
day 9,07.Internet Protocol(IP)_41,computer networks lecture 40 - source ip and desti.mp4,607.49,0:10:7
day 9,07.Internet Protocol(IP)_41,computer networks lecture 41 - options.mp4,493.53,0:8:13
day 9,08.Fragmentation_45,computer networks lecture 42 - difference between_.mp4,823.74,0:13:43
day 9,08.Fragmentation_45,computer networks lecture 43 - fragmentation expla.mp4,3095.0,0:51:35
day 9,08.Fragmentation_45,computer networks lecture 44 - theory about fragme.mp4,915.73,0:15:15
day 9,08.Fragmentation_45,computer networks lecture 45 - reassembly algorith.mp4,734.76,0:12:14
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 46 - implementation of b.mp4,613.12,0:10:13
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 47 - arp.mp4,856.83,0:14:16
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 48 - special address 127.mp4,790.25,0:13:10
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 49 - rarp.mp4,843.33,0:14:3
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 50 - bootp and dhcp.mp4,1358.83,0:22:38
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 51 - introduction to icm.mp4,467.82,0:7:47
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 52 - icmp feedback messa.mp4,1529.24,0:25:29
day 10,09.Protocols and Concepts at Network Layer_55,computer networks lecture 53 - icmp request and re.mp4,824.09,0:13:44
day 11,09.Protocols and Concepts at Network Layer_55,computer networks lecture 54 - traceroute-- applic.mp4,969.75,0:16:9
day 11,09.Protocols and Concepts at Network Layer_55,computer networks lecture 55 - pmtdu -- applicatio.mp4,417.94,0:6:57
day 11,10.Routing_62,computer networks lecture 56 - difference between_.mp4,557.38,0:9:17
day 11,10.Routing_62,computer networks lecture 57 - types of routing al.mp4,238.04,0:3:58
day 11,10.Routing_62,computer networks lecture 58 - distance vector rou.mp4,2359.0,0:39:19
day 11,10.Routing_62,computer networks lecture 59 - count to infinity.mp4,1812.1,0:30:12
day 11,10.Routing_62,computer networks lecture 60 - split horizon.mp4,916.74,0:15:16
day 12,10.Routing_62,computer networks lecture 61 - link state routing_.mp4,1796.68,0:29:56
day 12,10.Routing_62,computer networks lecture 62 - difference between_.mp4,766.14,0:12:46
day 12,11.TCP_84,75tcp state transition diagram- connection establi.mp4,522.18,0:8:42
day 12,11.TCP_84,76tcp state transition diagram - connection releas.mp4,519.25,0:8:39
day 12,11.TCP_84,85traffic shaping from ravindra on vimeo.mp4,134.91,0:2:14
day 12,11.TCP_84,86leaky bucket from ravindra on vimeo.mp4,238.91,0:3:58
day 12,11.TCP_84,87token bucket from ravindra on vimeo.mp4,440.49,0:7:20
day 12,11.TCP_84,88example on token bucket from ravindra on vimeo.mp4,382.98,0:6:22
day 12,11.TCP_84,computer networks lecture 63 tcp header.mp4,215.85,0:3:35
day 12,11.TCP_84,computer networks lecture 64 -source port destina.mp4,769.17,0:12:49
day 12,11.TCP_84,computer networks lecture 65 sequence number ackn.mp4,1115.33,0:18:35
day 13,11.TCP_84,computer networks lecture 66 wrap around time and_.mp4,1454.93,0:24:14
day 13,11.TCP_84,computer networks lecture 67 header length and cal.mp4,599.72,0:9:59
day 13,11.TCP_84,computer networks lecture 68 tcp connection establ.mp4,1604.39,0:26:44
day 13,11.TCP_84,computer networks lecture 69 tcp data transfer aft.mp4,880.34,0:14:40
day 13,11.TCP_84,computer networks lecture 70 tcp connection termin.mp4,807.98,0:13:27
day 13,11.TCP_84,computer networks lecture 71 psh flag.mp4,458.24,0:7:38
day 13,11.TCP_84,computer networks lecture 72 urg flag and urgent p.mp4,1217.22,0:20:17
day 14,11.TCP_84,computer networks lecture 73 rst flag.mp4,315.48,0:5:15
day 14,11.TCP_84,computer networks lecture 74 tcp flow control usin.mp4,835.14,0:13:55
day 14,11.TCP_84,computer networks lecture 75 tcp checksum.mp4,537.51,0:8:57
day 14,11.TCP_84,computer networks lecture 76 options in tcp header.mp4,280.38,0:4:40
day 14,11.TCP_84,computer networks lecture 77 retransmissions in tc.mp4,1073.09,0:17:53
day 14,11.TCP_84,computer networks lecture 78 introduction to tcp c.mp4,1044.46,0:17:24
