time,topic,video,seconds,time
day 0,01.Operators in C,operators in c.mp4,721.81,0:12:1
day 0,02.Arrays,1.one dimensional arrays.mp4,695.04,0:11:35
day 0,02.Arrays,2.row major and column major order in two dimensio.mp4,1120.13,0:18:40
day 0,02.Arrays,3.binary addressing of two dimensional arrays.mp4,1084.27,0:18:4
day 0,02.Arrays,4.gate 98 question.mp4,334.29,0:5:34
day 1,02.Arrays,5.gate 2004 question.mp4,238.49,0:3:58
day 1,03.Pointers in C,1.introduction to pointers.mp4,743.02,0:12:23
day 1,03.Pointers in C,2.an example program on pointers.mp4,273.81,0:4:33
day 1,03.Pointers in C,3.gate 2010 question.mp4,151.0,0:2:31
day 1,03.Pointers in C,4.pointers and functions.mp4,431.0,0:7:11
day 1,03.Pointers in C,5.pointers and arrays.mp4,1062.1,0:17:42
day 1,03.Pointers in C,6.pointer arithmetic or address arithmetic.mp4,559.32,0:9:19
day 1,03.Pointers in C,7.character arrays and pointers.mp4,680.96,0:11:20
day 2,03.Pointers in C,8.2011 question on character array and pointers.mp4,558.12,0:9:18
day 2,03.Pointers in C,9.2008 it question on string constant.mp4,283.16,0:4:43
day 2,03.Pointers in C,10.array of pointers and multidimensional arrays.mp4,952.53,0:15:52
day 2,03.Pointers in C,11.multidimensional arrays pointers and function_.mp4,680.77,0:11:20
day 2,03.Pointers in C,12.question on pointer to pointers and array of po.mp4,1994.73,0:33:14
day 2,03.Pointers in C,13.pointers to functions.mp4,634.52,0:10:34
day 3,03.Pointers in C,14.some complex declarations.mp4,796.01,0:13:16
day 3,04.Structures,1.introduction to structures.mp4,655.49,0:10:55
day 3,04.Structures,2.example on structures arrays and pointers.mp4,2176.49,0:36:16
day 3,04.Structures,3.self referential structures.mp4,294.93,0:4:54
day 4,04.Structures,4.malloc.mp4,1339.43,0:22:19
day 4,05.Recursion,1.tracing the recursion.mp4,1289.75,0:21:29
day 4,06.Linked list,1.introduction to sigle linked list.mp4,813.57,0:13:33
day 4,06.Linked list,2.traversing a single linked list.mp4,496.6,0:8:16
day 5,06.Linked list,3.inserting an element in sll.mp4,1201.62,0:20:1
day 5,06.Linked list,4.deleting a node from sll.mp4,1102.06,0:18:22
day 5,06.Linked list,5.2008 gate question on rearranging an sll.mp4,975.92,0:16:15
day 5,06.Linked list,6.2010 question on moving a last node to the front.mp4,1005.91,0:16:45
day 6,06.Linked list,7.printing the elements of sll using recursion.mp4,714.2,0:11:54
day 6,06.Linked list,8.reversing an sll using iterative program.mp4,840.96,0:14:0
day 6,06.Linked list,9.recursive program for reversing an sll.mp4,919.94,0:15:19
day 6,06.Linked list,10.gate 2002 and 2004 questions.mp4,292.01,0:4:52
day 6,06.Linked list,11.circular linked list.mp4,252.93,0:4:12
day 6,06.Linked list,12.2003 question.mp4,1351.3,0:22:31
day 6,06.Linked list,13.insertion into doubly linked list.mp4,727.85,0:12:7
day 7,07.Stacks and queues,1.introduction to stacks.mp4,388.25,0:6:28
day 7,07.Stacks and queues,2.implementation of stack using arrays.mp4,895.77,0:14:55
day 7,07.Stacks and queues,3.linked list implementation of stack.mp4,760.77,0:12:40
day 7,07.Stacks and queues,4.implementation of a queue using circular array.mp4,1153.47,0:19:13
day 7,07.Stacks and queues,5.gate 2012 question on circular queue.mp4,114.94,0:1:54
day 7,07.Stacks and queues,6.gate 2004 question.mp4,342.81,0:5:42
day 8,07.Stacks and queues,7.gate 94 question on permutations possible with a.mp4,250.43,0:4:10
day 8,07.Stacks and queues,8.gate 97 question .mp4,447.04,0:7:27
day 8,07.Stacks and queues,9.gate 03 question .mp4,1082.76,0:18:2
day 8,07.Stacks and queues,10.gate 2006 question.mp4,1537.71,0:25:37
day 8,07.Stacks and queues,11.gate 2000 question on implementing queue using_.mp4,325.4,0:5:25
day 9,07.Stacks and queues,12.infix to postfix conversion algorithm.mp4,1372.1,0:22:52
day 9,07.Stacks and queues,13.postfix evaluation algorithm.mp4,535.0,0:8:55
day 9,8.Trees,1.introduction to tree traversals.mp4,851.52,0:14:11
day 9,8.Trees,2.implementation of traversals and time and space_.mp4,1292.08,0:21:32
day 9,8.Trees,3.double order traversal.mp4,754.58,0:12:34
day 10,8.Trees,4.triple order traversal.mp4,280.53,0:4:40
day 10,8.Trees,5.indirect recursion on trees.mp4,753.66,0:12:33
day 10,8.Trees,6.number of binary trees possible.mp4,346.01,0:5:46
day 10,8.Trees,7.number of binary trees possible labelled and unl.mp4,1183.47,0:19:43
day 10,8.Trees,8.construction of unique binary tree using in orde.mp4,871.4,0:14:31
day 10,8.Trees,9.recursive program to count the number of nodes.mp4,886.61,0:14:46
day 11,8.Trees,10.recursive program to count the number of leaves.mp4,956.86,0:15:56
day 11,8.Trees,11.recursive program to find the full nodes.mp4,1135.21,0:18:55
day 11,8.Trees,12.recursive program to find the height of a tree_.mp4,729.11,0:12:9
day 11,8.Trees,13.introduction to bst.mp4,561.86,0:9:21
day 11,8.Trees,14.gate 05 question on bst.mp4,548.74,0:9:8
day 12,8.Trees,15.gate 05 question on number of bsts possible.mp4,265.66,0:4:25
